Date,Game,Earnings,Players,Tournaments,Game_numerical,Genre
1998-01-01,Command & Conquer: Red Alert,,8,1,0,Strategy
1998-01-01,QuakeWorld,,8,1,1,First-Person Shooter
1998-05-01,Quake II,,4,1,2,First-Person Shooter
1998-05-01,Total Annihilation,,2,1,3,Strategy
1998-05-01,QuakeWorld,300.0,3,1,1,First-Person Shooter
1998-07-01,Quake II,,4,1,2,First-Person Shooter
1998-11-01,Quake II,,13,2,2,First-Person Shooter
1998-11-01,QuakeWorld,,17,1,1,First-Person Shooter
1998-11-01,StarCraft: Brood War,,8,1,4,Strategy
1998-12-01,Age of Empires,,1,1,5,Strategy
1999-03-01,Quake II,,5,1,2,First-Person Shooter
1999-04-01,StarCraft: Brood War,,2,1,4,Strategy
1999-05-01,StarCraft: Brood War,,8,1,4,Strategy
1999-05-01,Quake II,,8,1,2,First-Person Shooter
1999-08-01,Descent 3,,1,1,6,First-Person Shooter
1999-08-01,StarCraft: Brood War,,9,2,4,Strategy
1999-09-01,StarCraft: Brood War,,15,3,4,Strategy
1999-09-01,Quake III Arena,,6,1,7,First-Person Shooter
1999-10-01,Quake III Arena,,12,1,7,First-Person Shooter
1999-12-01,StarCraft: Brood War,,15,4,4,Strategy
2000-01-01,Age of Empires II,,2,1,8,Strategy
2000-01-01,StarCraft: Brood War,,15,3,4,Strategy
2000-02-01,Quake III Arena,,3,1,7,First-Person Shooter
2000-02-01,Age of Empires II,450.0,5,1,8,Strategy
2000-04-01,Quake III Arena,,43,8,7,First-Person Shooter
2000-04-01,Age of Empires,,4,1,5,Strategy
2000-04-01,Age of Empires II,,1,1,8,Strategy
2000-05-01,StarCraft: Brood War,,3,1,4,Strategy
2000-05-01,Quake III Arena,,5,2,7,First-Person Shooter
2000-05-01,Age of Empires II,225.0,0,2,8,Strategy
2000-06-01,Quake III Arena,,9,2,7,First-Person Shooter
2000-06-01,StarCraft: Brood War,,1,1,4,Strategy
2000-06-01,Age of Empires II,,5,2,8,Strategy
2000-07-01,Quake III Arena,,6,2,7,First-Person Shooter
2000-07-01,Marvel vs. Capcom 2,0.0,3,1,9,Fighting Game
